CHANNEL_0_1
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
14  1555.061016    0.000120  0.000037  ...  0.000012  7.634222e+06  1.734087e+09
15  1555.061064    0.000120  0.000037  ...  0.000012  7.632768e+06  1.734087e+09
16  1555.060948    0.000119  0.000037  ...  0.000012  7.626865e+06  1.734087e+09
17  1555.060833    0.000125  0.000040  ...  0.000012  7.628628e+06  1.734087e+09
18  1555.060886    0.000122  0.000039  ...  0.000012  7.618920e+06  1.734087e+09
19  1555.061242    0.000124  0.000040  ...  0.000012  7.627924e+06  1.734086e+09
20  1555.061212    0.000123  0.000039  ...  0.000012  7.634630e+06  1.734086e+09
21  1555.061075    0.000121  0.000038  ...  0.000012  7.638422e+06  1.734086e+09
22  1555.061215    0.000115  0.000035  ...  0.000012  7.641364e+06  1.734086e+09
23  1555.061088    0.000130  0.000043  ...  0.000012  7.667853e+06  1.734086e+09
24  1555.061203    0.000119  0.000037  ...  0.000012  7.638996e+06  1.734086e+09
